parcelid,bathroomcnt,bedroomcnt,sqft,garagecarcnt,latitude,longitude,lotsizesqft,regionidzip,numstories,yearbuilt,price
14321898,9,7,12068,11,33626668,-117797356,50007,96940,1,2001,7292342
14328543,6.5,5,10379,11,33639592,-117787892,28488,96940,1,2010,4436104
13895556,4.5,4,5624,11,33549827,-117804781,9761,96969,1,2002,6869585
14323941,9.5,8,9979,11,33601425,-117852832,27500,96975,1,2000,8633958
14325614,9,8,13579,11,33580312,-117828822,23188,96975,1,2012,8259920
14324178,9.5,7,14121,11,33591548,-117839612,29447,96975,1,2012,9457842
14325600,7,5,10090,11,33581225,-117831080,20884,96975,1,2007,7961794
14324351,6,5,12973,11,33586560,-117836156,19745,96975,1,2010,8037650
14325625,6.5,5,8959,11,33583183,-117827708,18747,96975,1,2009,8005634
14324986,7,4,10956,11,33578504,-117832099,19724,96975,1,2009,1.04E+07
14329227,5,4,6958,11,33574248,-117824437,14810,96975,1,2006,5997257
14329206,6,4,7046,11,33573482,-117825895,15202,96975,1,2007,7087668
14329462,7,4,15743,11,33582199,-117825383,31377,96975,1,2011,2.80E+07
14329201,5,4,6958,11,33574153,-117826950,13504,96975,1,2007,9125857
14323973,6.5,4,10385,11,33598953,-117849319,18000,96975,1,1995,1.01E+07
14445367,5.5,4,4884,11,33424866,-117590537,640332,96982,1,2000,848471
14242848,3,3,2657,11,33774746,-117803958,26325,97005,1,1948,443184
13877322,1,2,930,11,33841483,-117920644,11765,97024,1,2015,274489
14233204,8,5,17333,11,33811460,-117785111,69696,97067,1,1998,4129836
14190927,2.5,3,2460,11,33876238,-117804821,16000,97078,1,2002,740040
14168423,3.5,3,3115,11,33896729,-117825936,22000,97078,1,1990,788188
14190349,2,1,2360,11,33882952,-117803749,23400,97078,1,1996,943142
14131965,2,4,3255,10,33862290,-118001962,16900,96181,1,1924,511800
17284988,6.5,4,7449,10,34180577,-118800197,156816,96385,1,1991,3350853
14328655,7.5,5,10277,10,33636443,-117779035,27791,96940,1,2007,5841481
14328597,7,5,9901,10,33637551,-117777957,20560,96940,1,2006,4880785
13894369,7.5,5,11165,10,33587794,-117865442,31850,96957,1,2008,1.29E+07
14429894,5.5,5,7552,10,33480293,-117720215,9000,96961,1,2001,4950000
14429919,4.5,3,4722,10,33479427,-117720716,9000,96961,1,2002,5175102
14325590,7,6,14902,10,33580198,-117832766,30162,96975,1,2009,1.48E+07
14325634,9,6,14484,10,33580526,-117828093,29100,96975,1,2008,7880882
14324168,8,6,12400,10,33594044,-117840941,24742,96975,1,1999,1.07E+07
14421609,7,5,7547,10,33498473,-117732315,15708,96987,1,2006,3969643
14480481,7,5,11027,10,33620765,-117593963,270072,96989,1,2004,4659000
14337760,19.5,10,26345,10,33781603,-117781407,144561,97005,1,1981,1.17E+07
14212672,2,3,1924,10,33842900,-117821231,45259,97026,1,1929,131643
13938084,3.5,4,4865,10,33799126,-117782948,43560,97067,1,1978,1669382
14219801,2.5,3,4005,10,33819084,-117777590,51401,97067,1,1979,2225000
14162189,2.5,4,2717,10,33906791,-117844220,26355,97068,1,1978,915407
14195679,4,4,5284,10,33903410,-117768585,43560,97078,1,1987,939352
14164807,6,4,5346,10,33891103,-117805316,32077,97078,1,2007,1112117
14168556,4.5,3,7205,10,33900096,-117838882,35360,97078,1,2002,1163258
17054943,3,4,3491,10,34454625,-119251853,145926,97099,1,1951,772871
17284901,1.5,6,13513,9,34180610,-118808544,187308,96385,1,1991,7138171
17291062,5.5,4,7547,9,34199400,-118824100,420790,96385,1,1990,4136649
14321908,7,6,8533,9,33625871,-117798049,30405,96940,1,2003,5634637
14321874,8.5,6,12851,9,33620382,-117792093,40859,96940,1,2006,8325050
14328667,8,5,10357,9,33634363,-117778220,30710,96940,1,2011,6006299
14328727,7,4,7936,9,33635128,-117774054,23305,96940,1,2008,5038000
14324532,6.5,5,7773,9,33586894,-117861324,7425,96957,1,2015,6078113
14430801,6,5,9458,9,33468339,-117716115,10411,96961,1,2009,1.25E+07
14429924,6.5,4,7027,9,33479365,-117719842,16620,96961,1,2002,6150000
14429838,5.5,4,4931,9,33478062,-117719324,7200,96961,1,1996,5277431
14429854,6.5,4,7823,9,33479706,-117718887,8820,96961,1,2002,2456985
14429805,5.5,4,4900,9,33478819,-117721847,8700,96961,1,1989,4265102
14395289,7.5,6,8858,9,33561836,-117691006,40500,96971,1,2004,4016329
14323942,12,8,13835,9,33601087,-117852807,31500,96975,1,1998,5662685
14324073,6.5,6,10532,9,33595764,-117842387,19220,96975,1,1999,7905793
14324363,9.5,6,15760,9,33588561,-117836741,32727,96975,1,2011,1.37E+07
14324051,8.5,6,8068,9,33596275,-117849546,19200,96975,1,2006,8756531
14324068,8,6,13149,9,33594473,-117842283,19936,96975,1,2001,1.30E+07
14325624,7.5,5,9572,9,33583179,-117828793,16442,96975,1,2011,1.16E+07
14324261,9,5,10802,9,33593483,-117837166,19690,96975,1,2000,6729088
14325607,6.5,5,12234,9,33581018,-117829869,32543,96975,1,2006,1.44E+07
14325622,7.5,5,12417,9,33582608,-117828949,21427,96975,1,2013,8810139
14324157,7.5,5,11183,9,33594328,-117839871,21998,96975,1,1999,9812484
14324764,6,5,7149,9,33584647,-117857289,12384,96975,1,2005,7749757
14324074,7.5,5,10087,9,33596014,-117842331,18550,96975,1,1998,1.07E+07
14324714,8.5,5,9408,9,33587413,-117855549,18000,96975,1,1993,5684537
14324091,4,4,8133,9,33595320,-117844428,19645,96975,1,2008,7678252
14293692,3,2,4900,9,33656360,-117875160,19800,96978,1,1990,995935
14407957,1,3,1196,9,33536274,-117671748,69696,96985,1,1928,707290
14421615,8.5,5,10006,9,33499567,-117732441,12258,96987,1,2000,5331208
14481928,5.5,5,5307,9,33604964,-117580121,24990,96989,1,1994,864155
14480296,6.5,4,5525,9,33606209,-117589482,43560,96989,1,1992,1447956
14458733,6,5,8748,9,33532969,-117633047,18648,96998,1,2008,3286357
14335965,5.5,5,5479,9,33752780,-117770346,31581,97018,1,2001,3857950
14212602,4.5,4,3710,9,33844297,-117818194,35420,97026,1,1994,2015976
14147019,2,5,2911,9,33910448,-117928010,37600,97043,1,1948,218177
14147835,2,4,1867,9,33906827,-117923913,17500,97043,1,1961,582801
14138039,3,4,2550,9,33900608,-117891417,28800,97043,1,1948,1289055
14223105,6,5,6572,9,33827500,-117804693,37014,97059,1,2003,2575000
14233045,7.5,4,6525,9,33799983,-117796600,52272,97067,1,2012,2458885
14165286,5,4,6870,9,33895353,-117797095,52152,97078,1,1999,2056295
14185563,2,4,1619,9,33872807,-117821611,24000,97078,1,1975,653631
17086710,4.5,5,4847,9,34277744,-119223858,26510,97083,1,2005,989868
17124983,3.5,4,4804,9,34226065,-119089222,47045,97089,1,1996,1759000
17124592,3.5,3,4578,9,34239445,-119070978,139392,97089,1,1992,1666752
17104715,3.5,2,4366,9,34247183,-119067157,44000,97089,1,2005,1707000
17208706,4,4,3975,9,34243031,-118888199,46609,97091,1,1989,1213000
13908203,3.5,5,3569,8,33838220,-117985986,22756,96180,1,1956,232222
14121975,3,3,3102,8,33836138,-118056436,27578,96185,1,1994,904373
17300145,4.5,5,3950,8,34204531,-118701549,50529,96342,1,1992,670507
17292705,5,4,5805,8,34132253,-118886732,35638,96384,1,2013,4142136
17285021,7.5,6,8812,8,34180597,-118803237,58370,96385,1,1997,3606134
17284831,7,5,7152,8,34185327,-118813813,57650,96385,1,1995,1745614
17285029,7.5,5,6388,8,34194964,-118799015,109771,96385,1,2001,4300000
14321878,9.5,8,13372,8,33618699,-117791085,38028,96940,1,2008,7623142
14322043,8.5,7,8584,8,33632993,-117786322,23566,96940,1,2005,6876184
14328633,6,5,8648,8,33637311,-117780905,20342,96940,1,2005,6000000
14328683,7,5,12524,8,33643230,-117784333,47698,96940,1,2010,1.11E+07
14328652,7,5,13202,8,33635547,-117778911,23697,96940,1,2007,6305205
14328632,7.5,5,10934,8,33637579,-117781300,23392,96940,1,2009,7201597
14328641,5,4,6518,8,33635209,-117781656,21257,96952,1,2007,5015887
14429898,6.5,5,8327,8,33479750,-117719758,9000,96961,1,2006,7899000
14429899,6.5,5,6856,8,33479659,-117719572,6900,96961,1,1999,3420024
14429836,6.5,4,7055,8,33478368,-117719480,7200,96961,1,2000,4082918
14028375,3,4,2590,8,33737158,-117993850,22800,96965,1,1950,454090
13943880,1,3,1905,8,33751340,-117986924,9604,96973,1,1957,511274
14323883,9,8,13701,8,33599951,-117847268,31605,96975,1,1994,8585373
14324769,8.5,7,7859,8,33584716,-117858495,11550,96975,1,1997,6192199
14324161,8.5,6,8504,8,33593416,-117840050,14593,96975,1,2005,4903559
14324104,7.5,6,10293,8,33598540,-117842545,17245,96975,1,1998,1.04E+07
14324246,8,6,10025,8,33593282,-117836375,17626,96975,1,2006,6737607
14325611,8,6,14129,8,33579715,-117830067,22530,96975,1,2008,1.45E+07
14323895,10.5,6,12155,8,33600607,-117849460,20000,96975,1,1994,7381442
14323968,7.5,6,9824,8,33599660,-117848317,19950,96975,1,1997,3232097
14325610,6.5,5,9981,8,33580023,-117830121,19221,96975,1,2007,7463509
14324736,6,5,7155,8,33585791,-117858255,13600,96975,1,1994,3510684
14324109,6.5,5,10359,8,33597249,-117843123,17190,96975,1,1999,8594429
14323952,6,4,7515,8,33599244,-117853179,19000,96975,1,1997,2508773
14324758,5.5,4,6923,8,33585398,-117858635,11060,96975,1,1994,3640664
14324724,4.5,4,5619,8,33586496,-117855818,11900,96975,1,1995,1974139
14324115,6.5,4,8591,8,33597539,-117841815,17595,96975,1,1998,9583960
14282355,7.5,6,10015,8,33638493,-117898300,16059,96978,1,1991,3000000
13892833,6.5,6,12611,8,33611240,-117903136,9261,96978,1,1988,3.14E+07
14317914,6,4,7338,8,33615417,-117845395,8400,96978,1,2002,3455404
13890641,5.5,6,3129,8,33622433,-117921210,11850,96981,1,1997,1139862
14408901,6.5,6,7780,8,33515133,-117634345,113256,96985,1,1998,3233796
14422907,5.5,4,7060,8,33500696,-117632907,19550,96985,1,2011,1697664
14508617,6,7,8418,8,33704058,-117641349,156816,96986,1,1984,2225274
14421624,9,8,7315,8,33501473,-117731680,16248,96987,1,2003,5316864
14481123,5,6,8685,8,33627367,-117576786,322344,96989,1,1982,6527084
14507340,4,4,3268,8,33664658,-117582118,130680,96989,1,1977,937354
13943719,2,2,1132,8,33761342,-117988170,13500,96990,1,1941,287148
14458681,6.5,5,6902,8,33534028,-117633899,11362,96998,1,2007,2126298
14336258,6,7,7283,8,33775631,-117771782,38700,97005,1,1969,602353
14243195,4,4,3010,8,33781596,-117790852,16744,97005,1,2008,922181
13985968,1.5,3,1652,8,33823784,-117983305,9496,97023,1,1932,215314
14212492,6.5,5,9413,8,33850176,-117802677,60984,97026,1,1983,3281349
14144758,4.5,4,3724,8,33912542,-117918376,17425,97043,1,1988,1307089
14147763,2,3,2378,8,33908443,-117929197,19900,97043,1,1951,591140
14222900,4,5,3623,8,33827267,-117795735,22400,97059,1,1966,760775
14230004,2.5,3,2649,8,33803934,-117812999,23870,97059,1,1972,1003000
14233118,6.5,8,6785,8,33809408,-117783988,36800,97067,1,2001,1755611
14164459,4.5,5,4069,8,33900752,-117819590,16366,97078,1,2002,1053787
14186978,2,4,1803,8,33875685,-117807532,16912,97078,1,1977,724991
14165318,4.5,3,5480,8,33892064,-117795630,34104,97078,1,2004,2581000
14168599,2,3,2496,8,33902123,-117838996,40200,97078,1,1976,387657
14198989,2.5,4,3733,8,33883284,-117765288,43081,97079,1,1999,928521
17124760,6,4,8754,8,34226172,-119082670,140263,97089,1,1998,2025065
17104716,3.5,3,5238,8,34246584,-119067356,45740,97089,1,1988,1527831
17208491,5,4,5532,8,34251886,-118883789,209959,97091,1,1989,1135077
17059765,5.5,5,5270,8,34412551,-119291042,100537,97098,1,1958,748785
17060667,4.5,4,3621,8,34401691,-119285792,89734,97098,1,2001,678866
14003224,3,2,3024,7,33793144,-117990138,32458,96203,1,1951,733899
17267971,3,4,2832,7,34192489,-118904145,37634,96383,1,1961,1237461
17285022,6,5,8783,7,34180209,-118802948,50094,96385,1,2004,4223000
14322049,8.5,6,9464,7,33634276,-117787600,28750,96940,1,2006,6220296
14322068,8,6,10325,7,33633171,-117785443,55495,96940,1,2007,8731150
14321979,6.5,5,9507,7,33628334,-117800986,21301,96940,1,2003,7003000
14321946,6.5,4,10575,7,33622302,-117797833,32844,96940,1,2006,4769571
14324459,3.5,3,6159,7,33591492,-117860241,28428,96957,1,1999,3748883
13895708,6,5,7526,7,33556065,-117806588,7476,96969,1,1999,4156833
13895615,4.5,4,5992,7,33554967,-117815179,9999,96969,1,1992,4116470
13897048,3,3,2774,7,33490184,-117733410,6500,96969,1,1980,438062
14394746,3.5,2,4277,7,33567637,-117685164,26460,96971,1,1988,1903593
14324741,9,7,12792,7,33586194,-117857102,10850,96975,1,1997,6778931
14324172,9.5,7,12453,7,33592985,-117841095,23958,96975,1,2006,7805105
14324320,9,6,10005,7,33590669,-117838265,14454,96975,1,2003,1.07E+07
14325615,9,6,9026,7,33580584,-117828777,17563,96975,1,2008,7996932
14324241,9,6,9348,7,33593533,-117835695,18419,96975,1,2002,2991865
14324267,8.5,6,11641,7,33594831,-117838422,20021,96975,1,2002,7687393
14324325,6,5,8037,7,33589572,-117837186,16502,96975,1,1999,8036320
14325665,6,5,7431,7,33582598,-117830054,47818,96975,1,2009,9602204
14324708,6,5,6686,7,33586661,-117856615,10500,96975,1,1995,4771675
14324326,7.5,5,7739,7,33589340,-117837110,15986,96975,1,1999,8180724
14323989,5.5,5,9152,7,33598480,-117846909,20000,96975,1,1998,2574412
14323972,8.5,4,9647,7,33599261,-117849395,17850,96975,1,1994,4795697
14324173,6,4,8070,7,33592738,-117840941,19646,96975,1,2000,1.37E+07
14295129,2.5,3,1923,7,33642302,-117880743,2526,96978,1,1971,423129
14296356,2.5,1,2553,7,33622993,-117867779,9413,96978,1,2007,2234551
13900111,3,3,2853,7,33409333,-117606021,6300,96982,1,1988,933642
14439849,3.5,4,4407,7,33478859,-117635206,74052,96983,1,1994,2024327
14439843,6,4,8124,7,33480119,-117633833,121968,96983,1,2004,3600000
14433017,6.5,5,8216,7,33496025,-117683935,69696,96985,1,1984,1727138
14421614,7,5,8461,7,33499366,-117732495,9855,96987,1,2007,5097156
14421619,7,4,8662,7,33500286,-117732097,9145,96987,1,2003,4341010
14738959,2,2,826,7,33552500,-117678000,0,96987,1,1984,125435
14480313,5.5,6,6482,7,33604063,-117587900,43560,96989,1,1999,2944225
14481140,5,3,7067,7,33628351,-117580041,87120,96989,1,1987,3107099
14457410,6.5,6,8392,7,33538713,-117628747,10760,96998,1,2005,2868525
14458432,4.5,4,6111,7,33534197,-117630825,13880,96998,1,2009,3100000
14336500,4.5,5,5739,7,33771444,-117772265,34979,97005,1,1975,2088155
14242952,3,4,3688,7,33773382,-117796633,21200,97005,1,1960,827942
14336561,3,3,2374,7,33774701,-117764375,33400,97005,1,1961,1171218
13938692,1,2,1188,7,33773724,-117818785,17100,97005,1,1915,82869
14212552,8.5,6,12873,7,33844994,-117815239,52272,97026,1,2006,4050000
14205957,3,5,3046,7,33856016,-117762027,44800,97027,1,1973,1185537
14170117,2,4,1752,7,33907942,-117850112,7284,97037,1,1969,520769
13873136,2,3,1709,7,33877834,-117932661,9000,97040,1,1935,465082
13866111,3,4,6109,7,33881686,-117942124,40545,97041,1,1946,641613
14145534,5.5,4,6687,7,33909632,-117940498,34848,97043,1,2006,2426447
13866227,4.5,4,3580,7,33887633,-117934860,31250,97043,1,1950,1364000
13866435,3.5,4,2482,7,33890400,-117928686,17399,97043,1,1952,539179
14223230,4.5,6,4469,7,33821332,-117800988,19800,97059,1,1973,1925000
14222355,3,5,3308,7,33818871,-117814300,20230,97059,1,1969,586221
14223356,4,4,4344,7,33823436,-117800399,37120,97059,1,1989,998377
14223553,4,5,3483,7,33825350,-117825052,20700,97065,1,1959,346000
14227199,2,3,1539,7,33814523,-117844892,16000,97065,1,1956,269193
14237640,3.5,3,4347,7,33794409,-117860506,18000,97066,1,1931,105431
14232002,2,2,2071,7,33809620,-117776408,47643,97067,1,1949,515619
14196689,7,5,6847,7,33904294,-117774057,78408,97078,1,1989,1140999
14165226,4.5,5,5049,7,33893833,-117801479,21845,97078,1,2000,995234
14195685,5,4,7453,7,33902112,-117769537,52272,97078,1,2007,2950000
14164280,3.5,4,3119,7,33896554,-117811035,30871,97078,1,2001,934674
14190256,2,3,2362,7,33887830,-117800808,22820,97078,1,1975,424643
14164618,2,3,1765,7,33892039,-117807485,11970,97078,1,1974,670097
14190917,3.5,2,5891,7,33877798,-117798367,60984,97078,1,1987,1305702
14200606,7,6,12082,7,33885090,-117743247,60984,97079,1,2012,3203728
17070489,2,4,1195,7,34328610,-119287505,18034,97081,2,1954,431693
17125313,4,6,5214,7,34228972,-119085535,43560,97089,1,1983,1081686
17125015,3.5,3,3675,7,34229350,-119088163,47403,97089,1,1997,921969
17208775,9,8,11293,7,34252524,-118874785,871200,97091,1,1998,1873378
17208091,5,4,4040,7,34243168,-118907395,43560,97091,1,1989,869095
17208553,3,4,3971,7,34249132,-118878093,67674,97091,1,1988,1337992
17208630,5,4,6241,7,34240246,-118875672,218672,97091,1,1992,2288000
17215139,3,4,3822,7,34242333,-118922927,52708,97091,1,1997,706890
17062492,2.5,4,2822,7,34418325,-118923194,37898,97094,1,1949,456659
17059988,2.5,4,2921,7,34416465,-119281066,43710,97098,1,1957,504510
17069429,1,3,2902,7,34390201,-119305527,441698,97098,1,1925,244620
17051500,1,2,848,7,34460666,-119287789,42485,97099,1,1945,449400
17061529,4,4,4370,7,34353437,-119088918,16469,97113,1,2002,754705
17257273,3.5,3,4072,7,34278600,-118690851,41293,97116,1,1958,1048952
17286963,3,4,3230,7,34246098,-118794191,21862,97118,1,1986,487019
17296269,4,3,4047,6,34050157,-118955789,0,96116,1,2006,858725
14014856,2,3,2286,6,33838386,-117997670,20493,96180,1,1953,583269
14121981,6,5,5394,6,33836387,-118057608,33000,96185,1,1967,533722
13851120,2,3,2115,6,33944004,-117957495,18506,96186,1,1955,455388
13855487,2,3,1483,6,33913859,-117973943,9310,96186,1,1963,292667
13927734,2,4,1696,6,33777766,-118086489,7956,96218,1,1959,113448
17300709,4,3,4166,6,34210442,-118675736,45738,96342,1,1983,946972
17277857,1,2,807,6,34168955,-118905926,20900,96351,1,1925,443672
17268199,6,6,4005,6,34188761,-118894301,33900,96383,1,1964,759347
17209664,5.5,5,3538,6,34235551,-118883960,297146,96383,1,2010,3482306
17267927,3.5,4,4572,6,34189879,-118899520,46609,96383,1,2009,1700000
17280133,2,3,1140,6,34215122,-118858243,11208,96383,1,1961,227565
17272812,7,6,10285,6,34158479,-118923746,892108,96384,1,2002,6760560
17292609,7.5,6,7813,6,34126903,-118879327,20208,96384,1,1992,2226398
17272816,8.5,6,13644,6,34157848,-118932986,1072882,96384,1,2010,6794414
17272811,7.5,5,12464,6,34160867,-118924723,913888,96384,1,2000,7400000
17292551,7.5,5,8084,6,34136087,-118878001,33363,96384,1,2001,4318006
17292556,4.5,4,5954,6,34134883,-118880075,31650,96384,1,1990,2962479
17284963,7.5,6,7341,6,34173305,-118803539,345431,96385,1,1992,3695509
17284970,5.5,5,7355,6,34186551,-118805030,47480,96385,1,1996,2247773
17290015,5.5,5,7888,6,34190955,-118796705,47916,96385,1,2007,3169323
17285098,4.5,5,6060,6,34193598,-118792972,75358,96385,1,1900,1274256
17284946,6,4,5912,6,34173504,-118808479,141134,96385,1,1990,2665165
17285074,4.5,4,7959,6,34201338,-118812309,149846,96385,1,2001,2609383
14328657,5,4,6145,6,33635988,-117778358,32539,96940,1,2006,4638000
14328693,5,3,10937,6,33640549,-117781471,34848,96940,1,2010,7424446
14448044,2,2,2329,6,33448430,-117647360,7700,96956,1,1983,757582
14324533,5.5,4,4736,6,33586708,-117861172,11340,96957,1,2006,4563859
14273732,2,3,1040,6,33657595,-117938674,12339,96959,1,1956,324655
13979584,2,2,1191,6,33636330,-117909493,6125,96959,1,2012,189785
14433166,5.5,4,6549,6,33487613,-117688677,51514,96961,1,1988,2118748
14429849,4.5,4,3695,6,33478814,-117718475,20955,96961,1,1989,1045774
14429827,6.5,4,8462,6,33477134,-117719740,20100,96961,1,1988,1.41E+07
14441641,4.5,3,3630,6,33467175,-117688086,4620,96961,1,1986,933269
14046621,2.5,3,3073,6,33648593,-117957191,9000,96964,1,2005,1200025
14074208,2,4,1471,6,33711862,-117985964,9702,96965,1,1963,608016
14065853,8,6,11178,6,33690541,-118009997,36000,96966,1,2002,2937762
14068752,6,4,5712,6,33712969,-118046626,16530,96967,1,1989,976844
14401572,6,5,4420,6,33536776,-117779037,9000,96969,1,2005,7957804
13896876,4,4,2843,6,33491987,-117737184,41318,96969,1,1929,8958665
14330458,4.5,4,4951,6,33556513,-117810774,22400,96969,1,2000,3127224
14403830,4.5,3,4069,6,33530874,-117764512,12890,96969,1,2013,2834904
13895632,5.5,3,7002,6,33554029,-117813295,10700,96969,1,2002,4599691
14418355,5.5,3,5455,6,33524521,-117753964,15980,96969,1,2012,3158362
14395284,7.5,6,6176,6,33563882,-117688145,87120,96971,1,1990,1642414
14389914,3.5,6,7695,6,33583467,-117683992,52272,96971,1,1997,2570319
13944325,3,4,2171,6,33748724,-117981482,8100,96973,1,1936,271458
14324140,7,6,9771,6,33595135,-117840702,32013,96975,1,2001,1.68E+07
14324703,4.5,5,6038,6,33587531,-117856614,10854,96975,1,1998,3843131
14323879,6.5,5,7465,6,33600898,-117846646,17100,96975,1,1999,5097156
14323978,6,4,8886,6,33598033,-117849673,17850,96975,1,1995,6526956
14324891,4.5,3,4176,6,33598410,-117832377,22000,96975,1,1997,1489034
14324823,4.5,3,5612,6,33600599,-117827769,12800,96975,1,2001,2145830
13980002,7,5,6907,6,33633362,-117890644,26136,96978,1,1982,1824030
14293687,6.5,5,6978,6,33655663,-117875852,19800,96978,1,2011,2215137
13892823,6.5,5,7241,6,33610687,-117902580,6669,96978,1,1979,2297857
13980338,4.5,4,5018,6,33638595,-117895900,11550,96978,1,1999,2461528
13889703,2,2,1465,6,33599175,-117885487,10884,96979,1,1956,262261
13889390,1,2,656,6,33599210,-117889879,5400,96979,1,1920,156152
14612975,2,2,1304,6,33624500,-117934000,0,96981,1,1985,620285
13900670,8.5,7,12854,6,33389318,-117595116,113256,96982,1,2007,9961016
14449697,5,6,5477,6,33419553,-117617003,3600,96982,1,2007,1764603
14451389,3.5,4,3208,6,33416414,-117615548,6902,96982,1,1965,918449
14439850,5,4,5746,6,33478258,-117634916,69696,96983,1,1995,1719792
14435165,4.5,3,4300,6,33459417,-117644410,12350,96983,1,1991,993233
14409209,4.5,5,5101,6,33527332,-117654141,56628,96985,1,1981,1257282
14409220,6.5,5,7459,6,33523842,-117653817,130680,96985,1,1987,2760643
14409731,6,5,5824,6,33520603,-117654241,9836,96985,1,2002,1545155
14405808,4.5,5,4764,6,33504661,-117675320,47916,96985,1,1981,1820412
14405770,2.5,4,3888,6,33502212,-117672501,52272,96985,1,1943,793230
14409389,3.5,4,6034,6,33519495,-117639633,43560,96985,1,1985,2633730
14409827,4.5,4,6449,6,33520211,-117649733,26780,96985,1,1990,2122080
14409923,5,4,6374,6,33529113,-117650346,20006,96985,1,2000,1819880
14408122,2,3,1269,6,33532494,-117668978,3486,96985,1,1972,427000
14408118,2,3,1269,6,33531983,-117668857,3680,96985,1,1972,431481
14508634,5.5,4,5676,6,33711038,-117639795,47916,96986,1,1998,1385591
14508861,1,1,960,6,33746608,-117636146,4050,96986,1,1975,158211
14433614,7.5,6,8019,6,33494997,-117689249,34379,96987,1,1994,6102276
14494778,6.5,6,6964,6,33629650,-117586385,43560,96989,1,1988,2106643
14466995,8.5,6,10568,6,33593452,-117578382,149498,96989,1,1996,3544406
14480343,6,5,8936,6,33601749,-117587150,43560,96989,1,2001,2726319
14460931,4.5,5,5038,6,33572563,-117576556,127152,96989,1,1999,2419172
14481085,6.5,5,7663,6,33636151,-117573443,444312,96989,1,2006,4306575
14480460,6,5,5553,6,33616341,-117589874,82764,96989,1,2000,3044734
14480322,5.5,4,7234,6,33603984,-117587091,43560,96989,1,1997,2505433
14480438,4.5,4,7852,6,33616022,-117586549,43560,96989,1,1990,2816653
14494784,4.5,4,4727,6,33628946,-117587320,43560,96989,1,2001,1685893
14336689,5,6,5773,6,33780716,-117770175,47916,97005,1,1968,1166933
14336275,3.5,6,4992,6,33774891,-117771718,29850,97005,1,1972,330271
14336478,4,6,3825,6,33775793,-117769325,19000,97005,1,2002,993421
14246814,3.5,5,4750,6,33764162,-117817838,13500,97005,1,1964,952691
14243042,3,4,3300,6,33774589,-117793657,42128,97005,1,1953,1070722
14332585,2,3,1852,6,33747678,-117793101,26000,97005,1,1953,848831
